Europe/Budapest_(+01:00),Voltage,Current,Battery_watts,Load_state,Load_current,Charger_on/off,Charge_state,PV_voltage,PV_current,PV_power,MPPT_State,Yield_today,Maximum_charge_power_today,Yield_yesterday,Maximum_charge_power_yesterday,Error_code,User_yield,
2022-01-25 17:20:34,26.60,0.0,0,On,0.0,On,Bulk,30.61,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:21:34,26.59,0.0,0,On,0.0,On,Bulk,29.33,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:22:34,26.57,0.0,0,On,0.0,On,Bulk,30.25,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:23:34,26.55,0.0,0,On,0.0,On,Bulk,30.12,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:24:34,26.55,0.0,0,On,0.0,On,Bulk,29.97,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:25:34,26.53,0.0,0,On,0.0,On,Bulk,29.78,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:26:34,26.51,0.0,0,On,0.0,On,Bulk,28.92,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:27:34,26.50,0.0,0,On,0.0,On,Bulk,29.43,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:28:34,26.48,0.0,0,On,0.0,On,Bulk,29.18,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:29:34,26.46,0.0,0,On,0.0,On,Bulk,28.92,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:29:45,26.46,0.0,0,On,0.0,On,Bulk,28.86,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:30:34,26.46,0.0,0,On,0.0,On,Bulk,28.54,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:31:34,26.45,0.0,0,On,0.0,On,Bulk,28.23,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:32:34,26.44,0.0,0,On,0.0,On,Bulk,28.02,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:33:34,26.43,0.0,0,On,0.0,On,Bulk,27.85,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:33:37,26.43,0.0,0,On,0.0,On,Bulk,27.83,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:34:34,26.43,0.0,0,On,0.0,On,Bulk,27.48,0.0,0,MPPT active,0.02,10,0.03,16,No error,4.20,
2022-01-25 17:34:42,26.42,0.0,0,On,0.0,On,Off,26.34,0.0,0,Off,0.02,10,0.03,16,No error,4.20,
