Europe/Budapest_(+01:00),VRM_Log_time_offset,ESS_Scheduled_Charging,
2022-01-25 17:55:34,1,Not active,
2022-01-25 17:56:34,1,Not active,
2022-01-25 17:57:34,1,Not active,
2022-01-25 17:58:33,2,Not active,
2022-01-25 17:59:34,2,Not active,
2022-01-25 18:00:34,2,Not active,
2022-01-25 18:01:34,2,Not active,
2022-01-25 18:02:34,2,Not active,
2022-01-25 18:03:34,2,Not active,
2022-01-25 18:04:34,0,Not active,
2022-01-25 18:05:34,0,Not active,
2022-01-25 18:06:34,1,Not active,
2022-01-25 18:07:34,1,Not active,
2022-01-25 18:08:34,1,Not active,
2022-01-25 18:09:34,1,Not active,
