Europe/Budapest_(+01:00),PV_-_DC-coupled,DC_System,Voltage,DVCC_Multiple_batteries_alarm,GX_Error_#48_DVCC_with_incompatible_firmware,#1_Low_SOC;_discharge_disabled,#2_BatteryLife_is_active,#3_Charge_disabled_by_BMS,#4_Discharge_disabled_by_BMS,#5_Slow_charge_is_active,#6_Charge_disabled_by_user_setting,#7_Discharge_disabled_by_user_setting,
2022-01-25 17:55:34,0,0,26.24,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 17:56:34,0,0,26.23,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 17:57:34,0,0,26.23,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 17:58:33,0,0,26.22,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 17:59:34,0,0,26.22,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:00:34,0,0,26.22,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:01:34,0,0,26.22,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:02:34,0,0,26.20,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:03:34,0,0,26.20,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:04:34,0,0,26.20,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:05:34,0,0,26.19,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:06:34,0,0,26.19,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:07:34,0,0,26.20,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:08:34,0,0,26.18,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
2022-01-25 18:09:34,0,0,26.18,No alarm,No alarm,Off,Off,Off,Off,Off,Off,Off,
